Player,Span,Mat,Ct,Max
DPMD Jayawardene (SL),1998-2015,448,218,4
RT Ponting (Aus),1995-2012,375,160,3
M Azharuddin (Ind),1985-2000,334,156,4
Virat Kohli (Ind),2008-2023,279,143,3
LRPL Taylor (NZ),2006-2022,236,142,4
SR Tendulkar (Ind),1989-2012,463,140,4
SP Flemming (NZ),1994-2007,280,133,4
JH Kallis (SA),1996-2014,328,131,3
Younis Khan (Pak),2000-2015,265,130,4
M Muralitharan (SL),1993-2011,350,130,3
AR Border (Aus),1979-1994,273,127,3
Shahid Afridi (Pak),1996-2015,398,127,2
Rahul Dravid (Ind),1996-2011,344,124,4
CH Gayle (WI),1999-2019,301,124,3
ST Jayasuriya (SL),1989-2011,445,123,3
CL Hooper (WI),1987-2003,227,120,4
BC Lara (WI),1990-2007,299,120,3
