Player,Span,Mat,W,L,Ties,NR,%
AJ Finch (Aus),2014-22,76,40,32,1,3,55.47
MS Dhoni (Ind),2007-16,72,41,28,1,2,59.28
EJG Morgan (Eng),2012-22,72,42,27,2,1,60.56
Babar Azam (Pak),2019-23,71,42,23,0,6,64.61
KS Willimson (NZ),2012-24,71,37,32,1,1,52.11
Ahmed Faiz (MAL),2019-23,62,36,23,1,2,60.83
C Rubagumya (RWN),2021-23,60,14,44,0,2,23.33
WTS Porterfield (Ire),2008-17,56,26,26,0,4,50.00
B Masaba (UGA),2021-23,54,42,9,0,3,77.77
Rohit Sharma (Ind),2017-24,53,41,12,0,0,77.35
A Stanikzai (Afgh),2015-21,52,42,9,1,0,81.73
A Balbirinie (Ire),2020-23,52,19,31,1,1,38.23
MG Erasmus (NAM),2019-23,51,35,16,0,0,68.62
Virat Kohli (Ind),2017-22,50,30,16,2,2,64.58
MD Shanaka (SL),2019-23,48,22,24,0,0,47.91
A Vala (PNG),2016-23,48,29,18,0,1,61.70
AR Patwa (TAN),2021-23,48,30,15,0,0,63.82
DJG Sammy (WI),2011-16,47,27,17,1,2,61.11
Shahid Afridi (Pak),2009-18,44,19,24,1,0,44.31
V Ganesan (GER),2019-23,43,25,18,0,0,58.13
Mahmudullah (Ban),2018-22,43,16,26,0,0,38.09
KJ Coetzer (Scot),2012-21,41,20,20,1,0,50.00
F du Plessis (SA),2012-19,40,24,15,1,0,61.25
P Mishra (Bul),2019-22,39,12,25,0,2,32.43
KA Pollard (WI),2019-22,39,13,21,0,5,38.21
Shakib Al Hasan (Ban),2009-23,39,16,23,0,0,41.02
CR Ervine (Zim),2021-23,38,20,17,0,0,54.05
Razmal Shigwal (Aut),2019-23,38,20,16,0,0,55.55
R Sateesan (ROM),2019-23,38,25,13,0,0,65.78
PM Seelaar (Neth),2018-21,38,17,18,2,1,48.64
,,,,,,,
