Player,Team,Awards,Mat,Span
Suryakumar Yadav,Ind,16,70,2021-24
Virat Kohli,Ind,16,125,2010-24
Sikandar Raza,Zim,15,91,2013-24
Virendeep Singh,Mal,14,78,2019-24
Mhd Nabi,Afgh,14,123,2010-24
RG Sharma,Ind,14,159,2007-24
Mhd Rizwan,Pak,12,101,2015-24
DA Warner,Aus,12,106,2009-24
Shakib Al-Hasan,Ban,12,125,2006-24
DM Nakrani,UGA,11,59,2019-24
Shadab Khan,Pak,11,92,2017-23
Shahid Afridi,Pak,11,99,2006-18
Mhd Hafeez,Pak,11,119,2006-21
CH Gayle,WI,10,79,2006-21
MJ Guptill,NZ,10,122,2009-22
SR Watson,Aus,9,58,2006-16
Mhd Shahzad,Afgh,9,73,2010-23
Moeen Ali,Eng,9,82,2014-23
Babar Azam,Pak,9,107,2016-24
PR Stirling,Ire,9,134,2009-23
Sami Sohail,MWI,8,31,2019-23
AR Ramjani,UGA,8,35,2022-23
Sarfraz Ali,BHR,8,39,2019-22
DJ Malan,Eng,8,62,2017-23
GD Phillips,NZ,8,69,2017-23
H Ssenyondo,UGA,8,73,2019-23
Glenn Maxwell,Aus,8,100,2012-23
Jos Buttler,Eng,8,114,2011-23
AJ Finch,Aus,8,103,2011-22
David Miller,SA,8,116,2010-23
EJG Morgan,Eng,8,115,2009-22
,,,,
