Player,Span,Mat,Awards
Virat Kohli (Ind),2008-24,125,7
Suryakmar Yadav (Ind),2021-24,70,5
Babar Azam (Pak),2015-24,123,5
DA Warner (Aus),2009-24,110,5
Shakib Al-Hasan (Ban),2006-23,129,5
PWH de Silva (SL),2019-24,70,4
Mhd Rizwan (Pak),2015-24,102,4
GJ Maxwell (Aus),2012-24,113,4
Mohammad Hafeez (Pak),2006-21,119,4
TL Seifert (NZ),2018-24,61,3
GD Phillips (NZ),2017-23,63,3
RR Hendricks (SA),2014-23,56,3
Q de Kock (SA),2012-23,80,3
B Kumar (Ind),2012-22,87,3
Mhd Nabi (Afgh),2010-24,114,3
DA Miller (SA),2010-23,116,3
Shoaib Malik (Pak),2006-21,124,3
Shahid Afridi (Pak),2006-18,99,3
TM Dilshan (SL),2006-16,80,2
SR Watson (Aus),2006-16,58,2
KP Pietersen (Eng),2006-14,37,2
CH Gayle (WI),2006-19,58,2
