Player,Span,Wkt,Mat,Ovrs,Mdn,Runs,BBI
TG Southee (NZ),2008-24,155,120,434.5,5,3528,5/18
Shakib Al Hasan (Ban),2006-23,140,117,422.3,3,2869,5/20
Rashid Khan (Afgh),2015-23,130,82,312.2,1,1925,5/3
IS Sodhi (NZ),2014-24,130,108,370.1,0,2962,4/28
SL Malinga (SL),2006-20,107,84,299.5,1,2225,5/6
AU Rashid (Eng),2007-23,107,104,365.2,4,2698,4/2
MJ Santner (NZ),2015-24,106,95,327.2,2,2311,4/11
M Rahman (Ban),2015-23,105,88,311.4,6,2338,5/22
Shadab Khan (Pak),2017-23,104,92,325.1,3,2301,4/8
MR Adair (Ire),2019-23,105,74,261.5,2,2011,4/13
S Lamichhane (Nepal),2018-23,98,52,195.5,5,1233,5/9
Shahid Afridi (Pak),2006-17,98,99,361.2,4,2396,4/11
SO Ngoche (Kenya),2010-23,96,81,273.4,12,1641,4/14
YS Chahal (Ind),2016-23,96,80,294.0,2,2409,6/25
CJ Jordan (Eng),2014-23,96,88,304.4,2,2658,4/6
PWH de Silva (SL),2019-24,94,60,216.4,1,1498,4/9
Bilal Khan (Oman),2015-23,92,64,230.1,7,1489,4/19
H Ssenyondo (UGA),2019-23,90,73,243.4,8,1298,4/4
Haris Rauf (Pak),2020-24,90,65,236.0,1,1934,4/18
B Kumar (Ind),2012-22,90,87,298.3,10,2079,5/4
Mohammed Nabi (Afgh),2010-24,88,114,341.4,5,2517,4/10
Umar Gul (Pak),2007-16,85,60,200.3,2,1443,5/6
Saeed Ajmal (Pak),2009-15,85,64,238.2,2,1516,4/19
GH Dockrell (Ire),2010-23,83,128,261.2,1,1878,4/20
Adam Zampa (Aus),2616-23,82,74,264.5,1,1856,5/19
,,,,,,,
